UniqueID,Tray,Genotype,GrandmaternalTemp,GrandmaternalVern,MaxLeafNumber,MaxLength,Bolting,Flower,FirstFruit,FirstYellowFruit,Generation,FlowerInterval,FruitInterval
Wa1_14,B,Wa1,High,Unvernalized,13,16.01,25,34,37,53,Progeny,9,19
Wa1_15,C,Wa1,High,Unvernalized,14,12.34,18,29,32,51,Progeny,11,22
Wa1_17,E,Wa1,High,Unvernalized,12,15.31,22,32,33,54,Progeny,10,22
Wa1_18,F,Wa1,High,Unvernalized,16,24.45,27,37,40,55,Progeny,10,18
Wa1_19,G,Wa1,High,Unvernalized,17,18.61,29,38,43,55,Progeny,9,17
Wa1_2,B,Wa1,High,Vernalized,11,15.22,22,31,35,50,Progeny,9,19
Wa1_20,H,Wa1,High,Unvernalized,14,16.49,32,38,44,57,Progeny,6,19
Wa1_21,I,Wa1,High,Unvernalized,16,14.9,31,37,41,59,Progeny,6,22
Wa1_22,J,Wa1,High,Unvernalized,13,11.95,22,30,31,56,Progeny,8,26
Wa1_23,K,Wa1,High,Unvernalized,12,13.05,35,45,51,62,Progeny,10,17
Wa1_24,L,Wa1,High,Unvernalized,18,25.1,27,35,38,55,Progeny,8,20
Wa1_25,A,Wa1,Low,Vernalized,14,7.37,23,42,46,60,Progeny,19,18
Wa1_26,B,Wa1,Low,Vernalized,16,19.02,25,33,36,51,Progeny,8,18
Wa1_27,C,Wa1,Low,Vernalized,13,17.08,35,45,48,61,Progeny,10,16
Wa1_28,D,Wa1,Low,Vernalized,13,12.24,26,37,44,57,Progeny,11,20
Wa1_29,E,Wa1,Low,Vernalized,15,14.78,26,35,40,54,Progeny,9,19
Wa1_3,C,Wa1,High,Vernalized,14,16.78,22,30,32,51,Progeny,8,21
Wa1_30,F,Wa1,Low,Vernalized,20,28.52,41,47,50,67,Progeny,6,20
Wa1_31,G,Wa1,Low,Vernalized,16,13.28,30,41,45,61,Progeny,11,20
Wa1_32,H,Wa1,Low,Vernalized,16,21.66,25,34,36,44,Progeny,9,10
Wa1_33,I,Wa1,Low,Vernalized,17,22.44,26,33,38,52,Progeny,7,19
Wa1_34,J,Wa1,Low,Vernalized,13,12.54,22,32,36,50,Progeny,10,18
Wa1_35,K,Wa1,Low,Vernalized,15,17.63,23,32,34,54,Progeny,9,22
Wa1_36,L,Wa1,Low,Vernalized,16,22.29,25,33,39,53,Progeny,8,20
Wa1_37,A,Wa1,Low,Unvernalized,16,26.12,23,31,34,51,Progeny,8,20
Wa1_38,B,Wa1,Low,Unvernalized,16,19.74,22,30,33,54,Progeny,8,24
Wa1_39,C,Wa1,Low,Unvernalized,14,19.63,22,29,32,60,Progeny,7,31
Wa1_4,D,Wa1,High,Vernalized,15,16.42,23,30,34,54,Progeny,7,24
Wa1_40,D,Wa1,Low,Unvernalized,14,15.09,26,36,38,54,Progeny,10,18
Wa1_41,E,Wa1,Low,Unvernalized,14,17.51,22,35,39,60,Progeny,13,25
Wa1_42,F,Wa1,Low,Unvernalized,18,25.71,23,35,40,57,Progeny,12,22
Wa1_43,G,Wa1,Low,Unvernalized,19,22.34,27,38,42,55,Progeny,11,17
Wa1_44,H,Wa1,Low,Unvernalized,13,18.53,21,30,33,54,Progeny,9,24
Wa1_46,J,Wa1,Low,Unvernalized,12,16.99,21,29,37,57,Progeny,8,28
Wa1_47,K,Wa1,Low,Unvernalized,13,16.39,33,41,45,60,Progeny,8,19
Wa1_48,L,Wa1,Low,Unvernalized,15,20.52,27,36,38,42,Progeny,9,6
Wa1_5,E,Wa1,High,Vernalized,12,15.34,21,31,36,55,Progeny,10,24
Wa1_6,F,Wa1,High,Vernalized,16,22.09,26,35,39,60,Progeny,9,25
Wa1_8,H,Wa1,High,Vernalized,13,13.98,22,30,33,51,Progeny,8,21
Wa1_9,I,Wa1,High,Vernalized,11,12.88,18,29,33,54,Progeny,11,25
Ws1_1,A,Ws1,High,Vernalized,13,17.93,22,27,31,59,Progeny,5,32
Ws1_10,J,Ws1,High,Vernalized,15,17.37,26,33,35,55,Progeny,7,22
